# PLATEIFU     MANGAID     Z           NSA_Z       NSA_ZDIST   NSA_ELPETRO_BA   NSA_ELPETRO_PHI   NSA_ELPETRO_TH50_R   NSA_SERSIC_BA   NSA_SERSIC_PHI   NSA_SERSIC_TH50   NSA_SERSIC_N  
  8138-6104    1-339258    0.0382298   0.0382298   0.0385098   0.942053         40.3993           4.9963               0.924408        42.8116          5.26115           0.966378      
  8138-12705   1-339042    0.0531292   0.0531292   0.0533807   0.355321         129.531           5.31697              0.24561         129.074          6.41912           1.87095       
  8138-12701   1-338829    0.0447728   0.0447728   0.0450282   0.782853         28.6849           6.98882              0.648331        27.6121          7.82808           1.72057       
  8138-3701    1-44216     0.0495306   0.0495306   0.0497803   0.751152         132.778           9.11081              0.724322        128.335          30.365            4.72086       
  8138-3704    1-44183     0.0262834   0.0262834   0.0265239   0.825609         115.986           2.21373              0.67456         109.937          1.89074           6.0           
  8138-3703    1-339132    0.0536385   0.0536385   0.0539086   0.842586         110.109           4.49287              0.786931        104.587          8.70595           6.0           
  8138-12702   1-338963    0.0500591   0.0500591   0.0503268   0.352192         0.382446          5.36185              0.232687        0.509369         6.05851           1.1287        
  8138-12704   1-339041    0.030805    0.030805    0.031063    0.690069         165.135           10.8654              0.625464        165.866          19.207            4.14228       
  8138-1901    1-339233    0.02753     0.02753     0.0278141   0.507301         104.499           3.19529              0.335617        103.06           3.26077           1.20877       
  8138-3702    1-339028    0.049657    0.049657    0.0499142   0.73786          120.054           8.59726              0.707166        117.365          19.1775           6.0           
  8081-6101    1-38011     0.0403649   0.0403649   0.0406009   0.615233         74.9997           3.28331              0.475832        75.281           3.47405           1.13387       
  8081-6102    1-38033     0.0369212   0.0369212   0.0371727   0.621949         157.382           5.84179              0.539947        155.081          6.7561            2.8871        
  8081-6103    1-37936     0.0380462   0.0380462   0.0383211   0.719981         39.8221           3.80681              0.650274        37.78            3.82659           0.887844      
  8081-1902    1-37923     0.0369601   0.0369601   0.0372327   0.93114          152.786           2.21361              0.914346        137.957          1.74733           1.49821       
  8081-3702    1-38166     0.0246549   0.0246549   0.0249161   0.982345         176.644           4.27137              0.985563        17.0696          7.15173           3.41861       
  8081-1901    1-37931     0.0270447   0.0270447   0.0273287   0.52056          164.785           2.68305              0.256707        164.441          2.50827           1.22581       
